epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,3608,0.90809,0.54593,0.94827,0.81877,0.82825,0.84832,0.53111,1.43999,0.98859,1.21331,0.001486,0.001486,0.001486
131,3635.94,0.89334,0.52639,0.94744,0.79695,0.85558,0.85262,0.51511,1.45526,0.98047,1.22338,0.00142,0.00142,0.00142
132,3664.06,0.88213,0.52719,0.94227,0.85162,0.80983,0.85277,0.5164,1.44351,0.97316,1.21468,0.001354,0.001354,0.001354
133,3691.87,0.9102,0.54394,0.94975,0.80899,0.8188,0.85243,0.52047,1.43374,0.95575,1.22184,0.001288,0.001288,0.001288
134,3719.47,0.89148,0.53241,0.94338,0.80551,0.83711,0.84415,0.52183,1.44048,0.99074,1.2258,0.001222,0.001222,0.001222
135,3747.2,0.88174,0.53708,0.94651,0.83424,0.82836,0.84841,0.52583,1.43605,0.94385,1.22968,0.001156,0.001156,0.001156
136,3774.73,0.87967,0.53113,0.94646,0.84302,0.83198,0.85519,0.51033,1.45275,0.96206,1.22958,0.00109,0.00109,0.00109
137,3802.28,0.87289,0.51511,0.93554,0.82342,0.82939,0.85044,0.51103,1.44995,0.96982,1.23442,0.001024,0.001024,0.001024
138,3829.68,0.87111,0.51661,0.93882,0.8481,0.81486,0.85601,0.51878,1.44881,0.97179,1.22888,0.000958,0.000958,0.000958
139,3857.36,0.88324,0.52554,0.93743,0.81096,0.82402,0.85307,0.51706,1.45223,0.98747,1.22955,0.000892,0.000892,0.000892
140,3883.67,0.85906,0.52823,0.93159,0.82373,0.82085,0.85055,0.52068,1.4529,0.97765,1.22811,0.000826,0.000826,0.000826
141,3912.8,0.848,0.50307,0.92699,0.78874,0.81301,0.8251,0.50804,1.46655,1.00506,1.22496,0.00076,0.00076,0.00076
142,3940.23,0.81112,0.47409,0.9261,0.81601,0.82754,0.84653,0.52184,1.4605,0.97814,1.22603,0.000694,0.000694,0.000694
143,3967.18,0.79508,0.47428,0.91878,0.84395,0.81713,0.85874,0.52703,1.4593,0.97207,1.23434,0.000628,0.000628,0.000628
144,3994.2,0.79134,0.46034,0.92319,0.85617,0.81231,0.86173,0.52876,1.45601,0.97035,1.23266,0.000562,0.000562,0.000562
145,4021.09,0.80305,0.47209,0.93246,0.83234,0.81996,0.8534,0.52461,1.45522,0.98185,1.22987,0.000496,0.000496,0.000496
146,4047.1,0.78596,0.46289,0.91844,0.85765,0.81444,0.85139,0.52658,1.45641,0.97124,1.23655,0.00043,0.00043,0.00043
147,4073.45,0.78594,0.45474,0.91318,0.84792,0.81498,0.85096,0.52232,1.45602,0.97947,1.23634,0.000364,0.000364,0.000364
148,4100.03,0.76969,0.44772,0.90872,0.8525,0.81814,0.84733,0.52406,1.45168,0.98282,1.23276,0.000298,0.000298,0.000298
149,4126.55,0.77428,0.44808,0.90522,0.83845,0.8295,0.84925,0.52263,1.45479,0.97637,1.23856,0.000232,0.000232,0.000232
150,4153.22,0.77252,0.45264,0.91468,0.83412,0.8321,0.8509,0.52872,1.45305,0.98453,1.23355,0.000166,0.000166,0.000166
